Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option
C1_01_UA_NI,C1_01,255,1,unambiguous,non-ironic,a,The cat was easy to lift up.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: He lifted the skinny cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.
Reasoning:
Answer:
","a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.
Question:
You are reading a story about a man who is trying to get a job. The story ends with the man saying something like: ""I'm not sure I can do this job."" What meaning is He most likely conveying?
a. He is trying to get a job.
b. He is not sure he can do this job.
c. He is not sure he can do this job.
d. He is not sure he can do this job.
Question:
You","['a', 'd', 'c', 'b']",4,UA_NI,"{'a': 8.125, 'b': 7.90625, 'c': 7.84375, 'd': 8.5625}","{'a': 0.24347533285617828, 'b': 0.19563791155815125, 'c': 0.18378481268882751, 'd': 0.37710195779800415}",0.37710195779800415,a,,a
C1_02_A_I,C1_02,51,1,ambiguous,ironic,c,The dog was very light to lift.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: She picked up her thin dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. She just adopted a new dog.
b. The dog was really heavy to lift
c. The dog was very light to lift.
d. It was the heaviest package she ever carried.
Reasoning:
Answer:
","a. She picked up the dog because it was the heaviest.
b. She picked up the dog because it was the heaviest.
c. She picked up the dog because it was the heaviest.
d. She picked up the dog because it was the heaviest.
e. She picked up the dog because it was the heaviest.
f. She picked up the dog because it was the heaviest.
g. She picked up the dog because it was the heaviest.
h. She picked up the dog because it was the heaviest.
i. She picked up the dog because it was the heaviest.
j. She picked up the dog because it was the heaviest.
k. She picked up the dog because it was","['d', 'a', 'b', 'c']",4,A_I,"{'a': 8.5, 'b': 8.125, 'c': 8.3125, 'd': 9.4375}","{'a': 0.19724225997924805, 'b': 0.1355624943971634, 'c': 0.16351957619190216, 'd': 0.5036757588386536}",0.5036757588386536,a,,d
C1_03_A_NI,C1_03,230,1,ambiguous,non-ironic,c,Their friend was very easy to lift.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: They lift their thin friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.
Reasoning:
Answer:
","a. They lifted their friend off the ground.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.
Question:
You are reading a passage from a book. The passage is about a man who is walking down a street. He sees a woman walking in the opposite direction. He stops and asks her if she is okay. She says she is fine. He asks her if she is okay. She says she is fine. He asks her if she is okay. She says she is fine. He asks her if she is okay. She says she is fine. He asks her if she is okay. She says","['b', 'c', 'a', 'd']",4,A_NI,"{'a': 6.6875, 'b': 4.9375, 'c': 4.875, 'd': 4.71875}","{'a': 0.6772081851959229, 'b': 0.11768113821744919, 'c': 0.11055120080709457, 'd': 0.0945594534277916}",0.6772081851959229,a,,b
C1_04_UA_I,C1_04,78,1,unambiguous,ironic,a,Holding my nephew took nothing of my strength.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: I held my skinny nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.
Reasoning:
Answer:
","a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.
Question:
You are reading a passage about a man who is in a car accident. The passage ends with the man saying something. Your task is to decide, given the situation, what meaning the man is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.","['b', 'a', 'c', 'd']",4,UA_I,"{'a': 7.5625, 'b': 7.0625, 'c': 6.5625, 'd': 7.5}","{'a': 0.3431917428970337, 'b': 0.20815631747245789, 'c': 0.1262531876564026, 'd': 0.3223988115787506}",0.3431917428970337,a,,b
C1_05_UA_NI,C1_05,77,1,unambiguous,non-ironic,a,The cake tasted really good.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: She ate a disgusting cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Reasoning:
Answer:
","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.
Context: She was in a car accident.
Target utterance: She said: ""I'm so sorry.""
What meaning is She most likely conveying?
a. I'm so sorry.
b. I'm not sorry.
c. I'm not sorry at all.
d. I'm sorry for what happened.
Reasoning:
Answer:
a. I'm so sorry.
b. I'm not sorry.
c. I'm not sorry at all.
d. I'm sorry for what happened.
","['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 8.125, 'b': 7.53125, 'c': 7.40625, 'd': 7.78125}","{'a': 0.36380571126937866, 'b': 0.20091260969638824, 'c': 0.17730474472045898, 'd': 0.2579768896102905}",0.36380571126937866,a,"Answer:
a. I'm so sorry.
b. I'm not sorry.
c. I'm not sorry at all.
d. I'm sorry for what happened.",a
C1_06_A_I,C1_06,188,1,ambiguous,ironic,a,The medicine tasted absolutely awful.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it unpleasant.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The medicine tasted absolutely awful.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.
Reasoning:
Answer:
","a. He swallowed the medicine and found it unpleasant.
b. He swallowed the medicine and found it surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.
Question:
You are reading a story about a man who is walking down the street. He sees a man in a wheelchair. He stops and asks the man if he is okay. The man says, ""I'm fine."" The man then turns around and walks away. What is the man's most likely meaning?
a. He is fine.
b. He is not fine.
c. He is not fine at all.
d. He is not fine at all.
Question:","['b', 'a', 'd', 'c']",4,A_I,"{'a': 8.0625, 'b': 7.75, 'c': 8.375, 'd': 7.78125}","{'a': 0.25951826572418213, 'b': 0.18986761569976807, 'c': 0.3547194004058838, 'd': 0.19589465856552124}",0.3547194004058838,a,,b
C1_07_A_NI,C1_07,239,1,ambiguous,non-ironic,a,The smoothie was thoroughly enjoyable.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it unpleasant.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.
Reasoning:
Answer:
","a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.
Question:
You are reading a passage from a book. The passage begins with a sentence that begins with a verb. The sentence is followed by a sentence that begins with a noun. The sentence is followed by a sentence that begins with a pronoun. The sentence is followed by a sentence that begins with a preposition. The sentence is followed by a sentence that begins with a conjunction. The sentence is followed by a sentence that begins with a preposition. The sentence is followed by a sentence that begins with a conjunction. The sentence is","['a', 'c', 'd', 'b']",4,A_NI,"{'a': 6.125, 'b': 3.9375, 'c': 3.71875, 'd': 3.703125}","{'a': 0.7745305299758911, 'b': 0.08689992129802704, 'c': 0.06982605159282684, 'd': 0.06874348968267441}",0.7745305299758911,a,,a
C1_08_UA_I,C1_08,259,1,unambiguous,ironic,d,They could barely force themselves to swallow the burger.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: They ate a disgusting burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.
Reasoning:
Answer:
","a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.
Question:
You are reading a story about a man who is trying to get a date with a girl. The story ends with the girl saying something like: ""I'm not interested in you."" The man says: ""I'm not interested in you either."" What meaning is He most likely conveying?
a. He is not interested in her.
b. He is not interested in her.
c. He is not interested in her.
d. He is not interested","['d', 'c', 'a', 'b']",4,UA_I,"{'a': 8.4375, 'b': 7.75, 'c': 8.375, 'd': 9.125}","{'a': 0.22568359971046448, 'b': 0.1134808361530304, 'c': 0.21201011538505554, 'd': 0.4488254189491272}",0.4488254189491272,a,,d
C1_09_UA_NI,C1_09,109,1,unambiguous,non-ironic,a,The babysitter was taking good care of the kids.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: They hired a petrified babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.
Reasoning:
Answer:
","a. They were not taking good care of the kids.
b. They were not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.
Question:
You are reading a story about a man who is a doctor. The story ends with the man saying something like: ""I'm a doctor. I'm a doctor."" What meaning is He most likely conveying?
a. He is a doctor.
b. He is a doctor.
c. He is a doctor.
d. He is a doctor.
Question:
You are reading a story about a man who is a doctor. The story ends with the man saying something","['a', 'b', 'c', 'd']",4,UA_NI,"{'a': 8.4375, 'b': 8.125, 'c': 8.5625, 'd': 8.25}","{'a': 0.27072444558143616, 'b': 0.19806623458862305, 'c': 0.3067709803581238, 'd': 0.22443845868110657}",0.3067709803581238,a,,a
C1_10_A_I,C1_10,186,1,ambiguous,ironic,b,The police officer did not make them feel safe at all.,Gpt2-1.5B,Condition1B_context_richness_stimuli,general_reasoning,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. State the reasoning in 2-3 bullet points and the answer. You can only answer with a, b, c, or d.
Context: They met a scared police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer drank a cup of coffee.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.
Reasoning:
Answer:
","a. They were sitting in a very safe seat.
b. They were sitting in a very safe seat.
c. They were sitting in a very safe seat.
d. They were sitting in a very safe seat.
e. They were sitting in a very safe seat.
f. They were sitting in a very safe seat.
g. They were sitting in a very safe seat.
h. They were sitting in a very safe seat.
i. They were sitting in a very safe seat.
j. They were sitting in a very safe seat.
k. They were sitting in a very safe seat.
l. They were sitting in a very safe seat.
m. They were sitting in","['d', 'b', 'c', 'a']",4,A_I,"{'a': 8.1875, 'b': 7.96875, 'c': 7.71875, 'd': 9.1875}","{'a': 0.19426573812961578, 'b': 0.1560969054698944, 'c': 0.12156839668750763, 'd': 0.528069019317627}",0.528069019317627,a,,d
