Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,option_logits_raw,confidence_dist,confidence_top_prob,chosen_option,reasoning,chosen_original_option,rsa_l0,rsa_s1,rsa_l1,rsa_final,rsa_raw_text
C1_01_A_NI,C1_01,265,1,ambiguous,non-ironic,d,The cat was easy to lift up.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He lifted the thin cat from the table.
Target utterance: He said:  """"That was easy!""""
What meaning is He most likely conveying?
a. The cat was really hard to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was easy to lift up.
Answer:
","d
","['b', 'c', 'd', 'a']",2,A_NI,"{'a': 19.625, 'b': 17.625, 'c': 18.75, 'd': 35.0}","{'a': 2.1024332852448424e-07, 'b': 2.8453341016643208e-08, 'c': 8.764246217651817e-08, 'd': 0.9999997615814209}",0.9999997615814209,d,,a,,,,,d
C1_02_UA_I,C1_02,198,1,unambiguous,ironic,c,The dog was very light to pick up.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She picked up her skinny dog.
Target utterance: She said: """"Heaviest dog ever.""""
What meaning is She most likely conveying?
a. It was the heaviest package she ever carried.
b. The dog was really heavy to pick up.
c. The dog was very light to pick up.
d. She just adopted a new dog.
Answer:
","b
","['c', 'a', 'b', 'd']",2,UA_I,"{'a': 23.25, 'b': 38.5, 'c': 23.875, 'd': 24.125}","{'a': 2.3823665173949848e-07, 'b': 0.9999986886978149, 'c': 4.450846518011531e-07, 'd': 5.715000384043378e-07}",0.9999986886978149,b,,a,,,,,b
C1_03_UA_NI,C1_03,7,1,unambiguous,non-ironic,b,Their friend was very easy to lift.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They lift their skinny friend.
Target utterance: They said: """"Light as a feather.""""
What meaning is They most likely conveying?
a. Getting their friend off the ground took a lot of effort.
b. Their friend was very easy to lift.
c. They decided to go out for dinner with their friend.
d. The feather fell gently to the ground.
Answer:
","b
","['b', 'a', 'd', 'c']",2,UA_NI,"{'a': 21.25, 'b': 35.75, 'c': 22.0, 'd': 22.0}","{'a': 5.043463602305565e-07, 'b': 0.9999973773956299, 'c': 1.0677011914594914e-06, 'd': 1.0677011914594914e-06}",0.9999973773956299,b,,a,,,,,b
C1_04_A_I,C1_04,6,1,ambiguous,ironic,b,Holding my nephew took nothing of my strength.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I held my thin nephew in my arms.
Target utterance: I said: """"Heavier than an elephant.""""
What meaning is I most likely conveying?
a. My nephew ate a burger that day.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. Holding my nephew took all my strength.
Answer:
","d
","['d', 'b', 'c', 'a']",2,A_I,"{'a': 20.0, 'b': 18.375, 'c': 19.625, 'd': 34.75}","{'a': 3.927860063868138e-07, 'b': 7.734415419236029e-08, 'c': 2.6995761004400265e-07, 'd': 0.9999991655349731}",0.9999991655349731,d,,a,,,,,d
C1_05_A_NI,C1_05,52,1,ambiguous,non-ironic,c,The cake tasted really good.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: She ate an unpleasant cake.
Target utterance: She said: """"What an amazing flavour.""""
What meaning is She most likely conveying?
a. The cake had three candles on top.
b. The cake tasted really bad.
c. The cake tasted really good.
d. The soup smelled absolutely delicious
Answer:
","c
","['d', 'b', 'a', 'c']",2,A_NI,"{'a': 17.5, 'b': 17.625, 'c': 30.125, 'd': 18.25}","{'a': 3.2887137422221713e-06, 'b': 3.7266006529534934e-06, 'c': 0.999985933303833, 'd': 6.962206953176064e-06}",0.999985933303833,c,,a,,,,,c
C1_06_UA_I,C1_06,266,1,unambiguous,ironic,d,The medicine tasted absolutely awful.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: He swallowed the medicine and found it disgusting.
Target utterance: He said: """"Tastier than expected.""""
What meaning is He most likely conveying?
a. The cake was tastier than expected.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The medicine tasted absolutely awful.
Answer:
","b
","['c', 'a', 'd', 'b']",2,UA_I,"{'a': 23.25, 'b': 38.25, 'c': 24.25, 'd': 24.0}","{'a': 3.0590177857448e-07, 'b': 0.9999982118606567, 'c': 8.315272452819045e-07, 'd': 6.475941063399659e-07}",0.9999982118606567,b,,a,,,,,b
C1_07_UA_NI,C1_07,11,1,unambiguous,non-ironic,b,The smoothie was thoroughly enjoyable.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: I took a sip of my smoothie and found it disgusting.
Target utterance: I said: """"What a treat.""""
What meaning is I most likely conveying?
a. The smoothie was thoroughly nasty.
b. The smoothie was thoroughly enjoyable.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.
Answer:
","a
","['b', 'a', 'c', 'd']",2,UA_NI,"{'a': 41.0, 'b': 24.75, 'c': 21.5, 'd': 22.625}","{'a': 0.9999998807907104, 'b': 8.764247638737288e-08, 'c': 3.3982674452204265e-09, 'd': 1.0467400279878802e-08}",0.9999998807907104,a,,b,,,,,a
C1_08_A_I,C1_08,121,1,ambiguous,ironic,a,They could barely force themselves to swallow the burger.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They ate an unpleasant burger.
Target utterance: They said: """"This burger tasted like heaven.""""
What meaning is They most likely conveying?
a. They could barely force themselves to swallow the burger.
b. The burger was the most expensive item on the menu.
c. They liked the burger more than the pizza.
d. They liked every single bite of the burger.
Answer:
","d
","['b', 'c', 'd', 'a']",2,A_I,"{'a': 20.0, 'b': 18.125, 'c': 18.875, 'd': 34.0}","{'a': 8.315277568726742e-07, 'b': 1.2751890210438432e-07, 'c': 2.6995752477887436e-07, 'd': 0.9999988079071045}",0.9999988079071045,d,,a,,,,,d
C1_09_A_NI,C1_09,106,1,ambiguous,non-ironic,c,The babysitter was taking good care of the kids.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They hired a scared babysitter.
Target utterance: They said: """"The kids are not safe at all.""""
What meaning is They most likely conveying?
a. The babysitter was not taking good care of the kids.
b. The kids had very clean hands.
c. The babysitter was taking good care of the kids.
d. The babysitter parked her car outside.
Answer:
","a
","['b', 'c', 'a', 'd']",2,A_NI,"{'a': 39.75, 'b': 23.5, 'c': 20.875, 'd': 23.25}","{'a': 0.9999998807907104, 'b': 8.764247638737288e-08, 'c': 6.3487992640887114e-09, 'd': 6.825602838489431e-08}",0.9999998807907104,a,,b,,,,,a
C1_10_UA_I,C1_10,66,1,unambiguous,ironic,d,The police officer did not make them feel safe at all.,Gemma-3-4B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from a to d. Read each story and choose the number corresponding to the most likely meaning. You can only answer with a, b, c, or d.
Context: They met a petrified police officer.
Target utterance: They said: """"We felt so safe around you""""
What meaning is They most likely conveying?
a. The police officer made them feel very safe.
b. The police officer drank a cup of coffee.
c. They were sitting in a very safe seat.
d. The police officer did not make them feel safe at all.
Answer:
","a
","['a', 'd', 'c', 'b']",2,UA_I,"{'a': 40.25, 'b': 23.375, 'c': 21.0, 'd': 22.375}","{'a': 0.9999998807907104, 'b': 4.691163368875095e-08, 'c': 4.363461592049589e-09, 'd': 1.7257827167327378e-08}",0.9999998807907104,a,,a,,,,,a
